edition_id:ID;year:int;city:string
PT-AI_2011;2011;Paris
Software Engineering Research, Management and Applications_2014;2014;Austin
EGC (best of volume)_2011;2011;New York
DAC_2000;2000;Montreal
DAC_1988;1988;Copenhagen
DAC_1986;1986;Munich
DAC_1999;1999;Tokyo
DAC_1982;1982;Los Angeles
DAC_1989;1989;Seattle
DAC_2004;2004;Rome
DAC_2009;2009;Boston
DAC_2005;2005;Berlin
DAC_2012;2012;Vienna
DAC_2024;2024;Singapore
DAC_2022;2022;Mumbai
DAC_1980;1980;Tokyo
DAC_2020;2020;Madrid
DAC_2003;2003;Zurich
DAC_1981;1981;New York
DAC_2019;2019;Madrid
DAC_1964;1964;Boston
DAC_1996;1996;Lisbon
DAC_1994;1994;Seattle
DAC_1997;1997;Seoul
DAC_2021;2021;Vienna
DAC_1977;1977;Berlin
DAC_2017;2017;Paris
DAC_1995;1995;Toronto
DAC_2025;2025;Seattle
DAC_1976;1976;San Francisco
DAC_2023;2023;Montreal
DAC_1985;1985;Toronto
DAC_2013;2013;Dublin
DAC_1975;1975;Copenhagen
DAC_2008;2008;Beijing
DAC_2015;2015;Seoul
DAC_2016;2016;Madrid
DAC_2006;2006;Montreal
DAC_1992;1992;Boston
DAC_1972;1972;Dublin
DAC_2011;2011;Mumbai
DAC_1991;1991;Boston
DAC_2002;2002;Berlin
DAC_1974;1974;San Francisco
DAC_2001;2001;Madrid
DAC_2018;2018;Rome
DAC_2010;2010;Seoul
DAC_1979;1979;Madrid
DAC_1987;1987;Zurich
DAC_1993;1993;Zurich
DAC_2014;2014;Singapore
DAC_1973;1973;Copenhagen
DAC_1990;1990;Sydney
DAC_2007;2007;San Francisco
DAC_1984;1984;Amsterdam
DAC_1978;1978;Barcelona
DAC_1983;1983;Sydney
DAC_1998;1998;Stockholm
DAC_1967;1967;Zurich
DAC_1965;1965;Stockholm
DAC_1971;1971;Boston
DAC_1969;1969;Tokyo
DAC_1968;1968;Singapore
SLIP@DAC_2018;2018;Lisbon
DAC_1970;1970;Tokyo
DAC_1966;1966;San Francisco
PSL_2011;2011;Berlin
PSL_2013;2013;Boston
IGARSS_2018;2018;Seattle
IGARSS_2016;2016;Seattle
IGARSS_2011;2011;Paris
IGARSS_2022;2022;San Francisco
IGARSS_2023;2023;Rome
IGARSS (2)_2008;2008;Vienna
IGARSS (4)_2008;2008;Tokyo
IGARSS_2021;2021;Seattle
IGARSS_2007;2007;Seoul
IGARSS_2012;2012;Lisbon
IGARSS (3)_2009;2009;Vienna
IGARSS_2020;2020;Stockholm
IGARSS_2017;2017;Paris
IGARSS_2015;2015;Austin
IGARSS_2014;2014;London
IGARSS_2024;2024;Zurich
IGARSS (1)_2009;2009;Austin
IGARSS_2005;2005;New York
IGARSS (3)_2008;2008;Madrid
IGARSS (2)_2009;2009;Boston
IGARSS_2010;2010;Seoul
IGARSS_2002;2002;Seattle
IGARSS_2004;2004;Austin
IGARSS_2019;2019;Mumbai
IGARSS_2013;2013;Stockholm
IGARSS_2006;2006;Boston
IGARSS (4)_2009;2009;Toronto
IGARSS (1)_2008;2008;Barcelona
IGARSS (5)_2008;2008;Madrid
IGARSS_2003;2003;Stockholm
IGARSS (5)_2009;2009;Seoul
