volume_id:ID;number:int;year:int
EAI Endorsed Trans. Ubiquitous Environ._Vol2;2;2015.0
RLJ_Vol4;4;2024.0
RLJ_Vol2;2;2024.0
RLJ_Vol3;3;2024.0
RLJ_Vol5;5;2024.0
RLJ_Vol1;1;2024.0
Int. J. Learn. Technol._Vol15;15;2020.0
Int. J. Learn. Technol._Vol20;20;2025.0
Int. J. Learn. Technol._Vol1;1;2005.0
Int. J. Learn. Technol._Vol18;18;2023.0
Int. J. Learn. Technol._Vol8;8;2013.0
Int. J. Learn. Technol._Vol14;14;2019.0
Int. J. Learn. Technol._Vol5;5;2010.0
Int. J. Learn. Technol._Vol12;12;2017.0
Int. J. Learn. Technol._Vol4;4;2009.0
Int. J. Learn. Technol._Vol11;11;2016.0
Int. J. Learn. Technol._Vol13;13;2018.0
Int. J. Learn. Technol._Vol10;10;2015.0
Int. J. Learn. Technol._Vol17;17;2022.0
Int. J. Learn. Technol._Vol16;16;2021.0
Int. J. Learn. Technol._Vol7;7;2012.0
Int. J. Learn. Technol._Vol6;6;2011.0
Int. J. Learn. Technol._Vol9;9;2014.0
Int. J. Learn. Technol._Vol19;19;2024.0
Int. J. Learn. Technol._Vol1;1;2004.0
Int. J. Learn. Technol._Vol3;3;2007.0
Int. J. Learn. Technol._Vol2;2;2006.0
Int. J. Learn. Technol._Vol3;3;2008.0
IEEE Trans. Educ._Vol67;67;2024.0
IEEE Trans. Educ._Vol43;43;2000.0
IEEE Trans. Educ._Vol57;57;2014.0
IEEE Trans. Educ._Vol54;54;2011.0
IEEE Trans. Educ._Vol56;56;2013.0
IEEE Trans. Educ._Vol48;48;2005.0
IEEE Trans. Educ._Vol53;53;2010.0
IEEE Trans. Educ._Vol61;61;2018.0
IEEE Trans. Educ._Vol50;50;2007.0
IEEE Trans. Educ._Vol68;68;2025.0
IEEE Trans. Educ._Vol59;59;2016.0
IEEE Trans. Educ._Vol64;64;2021.0
IEEE Trans. Educ._Vol45;45;2002.0
IEEE Trans. Educ._Vol51;51;2008.0
IEEE Trans. Educ._Vol47;47;2004.0
IEEE Trans. Educ._Vol55;55;2012.0
IEEE Trans. Educ._Vol46;46;2003.0
IEEE Trans. Educ._Vol65;65;2022.0
IEEE Trans. Educ._Vol66;66;2023.0
IEEE Trans. Educ._Vol52;52;2009.0
IEEE Trans. Educ._Vol60;60;2017.0
IEEE Trans. Educ._Vol49;49;2006.0
