:START_ID;:END_ID;:TYPE
783225;data mining;COVERS
783225;big data;COVERS
1054868;big data;COVERS
1054868;distributed systems;COVERS
1054868;data querying;COVERS
1054868;nosql;COVERS
1054869;data modeling;COVERS
1054869;indexing;COVERS
1054869;data storage;COVERS
1054869;distributed systems;COVERS
1054869;big data;COVERS
1054870;distributed systems;COVERS
1054870;nosql;COVERS
1054871;computer vision;COVERS
1054871;query optimization;COVERS
1054871;data mining;COVERS
1054872;data storage;COVERS
1054872;data modeling;COVERS
1054872;data management;COVERS
1054872;data mining;COVERS
1054872;indexing;COVERS
1054873;data mining;COVERS
1054873;data querying;COVERS
1054873;indexing;COVERS
1054874;data management;COVERS
1054874;nosql;COVERS
1054874;indexing;COVERS
1054874;data storage;COVERS
1054874;big data;COVERS
1054875;nosql;COVERS
1054875;data storage;COVERS
1054875;data management;COVERS
1054876;machine learning;COVERS
1054876;data management;COVERS
1054876;data querying;COVERS
1054876;data modeling;COVERS
1054877;data modeling;COVERS
1054877;indexing;COVERS
1054877;computer vision;COVERS
1054878;distributed systems;COVERS
1054878;data mining;COVERS
1054878;computer vision;COVERS
1054878;data management;COVERS
1054878;data modeling;COVERS
1054879;distributed systems;COVERS
1054879;query optimization;COVERS
1054880;query optimization;COVERS
1054880;data processing;COVERS
1054880;big data;COVERS
1054880;distributed systems;COVERS
1054881;data storage;COVERS
1054881;computer vision;COVERS
1054881;data modeling;COVERS
1054882;machine learning;COVERS
1054882;data mining;COVERS
1054882;computer vision;COVERS
1054883;data mining;COVERS
1054883;indexing;COVERS
1054883;data querying;COVERS
1054883;distributed systems;COVERS
1054883;computer vision;COVERS
1054884;data querying;COVERS
1054884;machine learning;COVERS
1054884;data processing;COVERS
1054885;data storage;COVERS
1054885;nosql;COVERS
1054885;data processing;COVERS
1054885;data management;COVERS
1054885;big data;COVERS
1054886;machine learning;COVERS
1054886;data processing;COVERS
1054886;big data;COVERS
1054887;distributed systems;COVERS
1054887;data modeling;COVERS
1054887;computer vision;COVERS
1054888;big data;COVERS
1054888;query optimization;COVERS
1054888;data modeling;COVERS
1054888;data querying;COVERS
1054888;distributed systems;COVERS
1054889;data processing;COVERS
1054889;data mining;COVERS
1054890;distributed systems;COVERS
1054890;indexing;COVERS
1054890;big data;COVERS
1054891;data modeling;COVERS
1054891;machine learning;COVERS
1054891;data querying;COVERS
1054891;data storage;COVERS
1054892;indexing;COVERS
1054892;data modeling;COVERS
1054893;indexing;COVERS
1054893;machine learning;COVERS
1054893;computer vision;COVERS
1054893;data processing;COVERS
1054894;data mining;COVERS
1054894;data processing;COVERS
1054894;indexing;COVERS
1054895;big data;COVERS
1054895;data mining;COVERS
1054896;nosql;COVERS
1054896;indexing;COVERS
1054896;data querying;COVERS
1054897;data modeling;COVERS
1054897;indexing;COVERS
1054897;nosql;COVERS
1054897;data management;COVERS
1054898;big data;COVERS
1054898;data querying;COVERS
1054899;big data;COVERS
1054899;indexing;COVERS
1054899;nosql;COVERS
1054899;distributed systems;COVERS
1054899;query optimization;COVERS
1054900;query optimization;COVERS
1054900;data querying;COVERS
1054901;data querying;COVERS
1054901;machine learning;COVERS
1054901;distributed systems;COVERS
1054902;query optimization;COVERS
1054902;computer vision;COVERS
1054902;indexing;COVERS
1054902;data mining;COVERS
1054902;nosql;COVERS
1054903;distributed systems;COVERS
1054903;data storage;COVERS
1054904;data management;COVERS
1054904;data querying;COVERS
1054905;query optimization;COVERS
1054905;data modeling;COVERS
1054905;distributed systems;COVERS
1054906;data management;COVERS
