:START_ID;:END_ID;:TYPE
783225;EAI Endorsed Trans. Ubiquitous Environ._Vol2;PUBLISHED_IN
1054868;RLJ_Vol4;PUBLISHED_IN
1054869;RLJ_Vol2;PUBLISHED_IN
1054870;RLJ_Vol3;PUBLISHED_IN
1054871;RLJ_Vol5;PUBLISHED_IN
1054872;RLJ_Vol5;PUBLISHED_IN
1054873;RLJ_Vol2;PUBLISHED_IN
1054874;RLJ_Vol4;PUBLISHED_IN
1054875;RLJ_Vol3;PUBLISHED_IN
1054876;RLJ_Vol2;PUBLISHED_IN
1054877;RLJ_Vol2;PUBLISHED_IN
1054878;RLJ_Vol5;PUBLISHED_IN
1054879;RLJ_Vol3;PUBLISHED_IN
1054880;RLJ_Vol4;PUBLISHED_IN
1054881;RLJ_Vol1;PUBLISHED_IN
1054882;RLJ_Vol5;PUBLISHED_IN
1054883;RLJ_Vol2;PUBLISHED_IN
1054884;RLJ_Vol1;PUBLISHED_IN
1054885;RLJ_Vol5;PUBLISHED_IN
1054886;RLJ_Vol2;PUBLISHED_IN
1054887;RLJ_Vol1;PUBLISHED_IN
1054888;RLJ_Vol3;PUBLISHED_IN
1054889;RLJ_Vol3;PUBLISHED_IN
1054890;RLJ_Vol3;PUBLISHED_IN
1054891;RLJ_Vol2;PUBLISHED_IN
1054892;RLJ_Vol1;PUBLISHED_IN
1054893;RLJ_Vol4;PUBLISHED_IN
1054894;RLJ_Vol3;PUBLISHED_IN
1054895;RLJ_Vol3;PUBLISHED_IN
1054896;RLJ_Vol4;PUBLISHED_IN
1054897;RLJ_Vol2;PUBLISHED_IN
1054898;RLJ_Vol4;PUBLISHED_IN
1054899;RLJ_Vol1;PUBLISHED_IN
1054900;RLJ_Vol2;PUBLISHED_IN
1054901;RLJ_Vol1;PUBLISHED_IN
1054902;RLJ_Vol5;PUBLISHED_IN
1054903;RLJ_Vol2;PUBLISHED_IN
1054904;RLJ_Vol2;PUBLISHED_IN
1054905;RLJ_Vol3;PUBLISHED_IN
1054906;RLJ_Vol2;PUBLISHED_IN
1054907;RLJ_Vol4;PUBLISHED_IN
1054908;RLJ_Vol3;PUBLISHED_IN
1054909;RLJ_Vol3;PUBLISHED_IN
1054910;RLJ_Vol5;PUBLISHED_IN
1054911;RLJ_Vol2;PUBLISHED_IN
1054912;RLJ_Vol3;PUBLISHED_IN
1054913;RLJ_Vol3;PUBLISHED_IN
1054914;RLJ_Vol5;PUBLISHED_IN
1054915;RLJ_Vol2;PUBLISHED_IN
1054916;RLJ_Vol5;PUBLISHED_IN
1054917;RLJ_Vol4;PUBLISHED_IN
1054918;RLJ_Vol2;PUBLISHED_IN
1054919;RLJ_Vol3;PUBLISHED_IN
1054920;RLJ_Vol4;PUBLISHED_IN
1054921;RLJ_Vol3;PUBLISHED_IN
1054922;RLJ_Vol4;PUBLISHED_IN
1054923;RLJ_Vol1;PUBLISHED_IN
1054924;RLJ_Vol2;PUBLISHED_IN
1054925;RLJ_Vol1;PUBLISHED_IN
1054926;RLJ_Vol4;PUBLISHED_IN
1054927;RLJ_Vol5;PUBLISHED_IN
1054928;RLJ_Vol4;PUBLISHED_IN
1054929;RLJ_Vol2;PUBLISHED_IN
1054930;RLJ_Vol1;PUBLISHED_IN
1054931;RLJ_Vol5;PUBLISHED_IN
1054932;RLJ_Vol5;PUBLISHED_IN
1054933;RLJ_Vol1;PUBLISHED_IN
