:START_ID;:END_ID;:TYPE
EAI Endorsed Trans. Ubiquitous Environ._Vol2;EAI Endorsed Trans. Ubiquitous Environ.;BELONGS_TO
RLJ_Vol4;RLJ;BELONGS_TO
RLJ_Vol2;RLJ;BELONGS_TO
RLJ_Vol3;RLJ;BELONGS_TO
RLJ_Vol5;RLJ;BELONGS_TO
RLJ_Vol1;RLJ;BELONGS_TO
Int. J. Learn. Technol._Vol15;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol20;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol1;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol18;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol8;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol14;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol5;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol12;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol4;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol11;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol13;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol10;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol17;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol16;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol7;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol6;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol9;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol19;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol1;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol3;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol2;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol3;Int. J. Learn. Technol.;BELONGS_TO
IEEE Trans. Educ._Vol67;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol43;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol57;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol54;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol56;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol48;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol53;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol61;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol50;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol68;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol59;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol64;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol45;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol51;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol47;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol55;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol46;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol65;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol66;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol52;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol60;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol49;IEEE Trans. Educ.;BELONGS_TO
IEEE Trans. Educ._Vol44;IEEE Trans. Educ.;BELONGS_TO
