:START_ID;:END_ID;corresponding_author:boolean;:TYPE
Emilio Coppa;783225;True;WRITTEN_BY
David Meger;1054868;True;WRITTEN_BY
Gregory Dudek;1054868;False;WRITTEN_BY
Scott Fujimoto;1054868;False;WRITTEN_BY
Wei-Di Chang;1054868;False;WRITTEN_BY
Alexander Levine 0001;1054869;True;WRITTEN_BY
Amy Zhang 0001;1054869;False;WRITTEN_BY
Peter Stone 0001;1054869;False;WRITTEN_BY
Henry Sowerby;1054870;True;WRITTEN_BY
Michael Littman 0002;1054870;False;WRITTEN_BY
Shreyas Sundara Raman;1054870;False;WRITTEN_BY
Zhiyuan Zhou;1054870;False;WRITTEN_BY
András György 0001;1054871;True;WRITTEN_BY
Claire Vernade;1054871;False;WRITTEN_BY
Mohammad Ghavamzadeh;1054871;False;WRITTEN_BY
Mohammad Javad Azizi;1054871;False;WRITTEN_BY
Thang Duong;1054871;False;WRITTEN_BY
Yasin Abbasi-Yadkori;1054871;False;WRITTEN_BY
Hassan Saber;1054872;True;WRITTEN_BY
Odalric-Ambrym Maillard;1054872;False;WRITTEN_BY
Alex Ayoub;1054873;True;WRITTEN_BY
Bruno Castro da Silva;1054873;False;WRITTEN_BY
Bryan Chan;1054873;False;WRITTEN_BY
Dale Schuurmans;1054873;False;WRITTEN_BY
David Szepesvari;1054873;False;WRITTEN_BY
Dhawal Gupta;1054873;False;WRITTEN_BY
Francesco Zanini;1054873;False;WRITTEN_BY
Forest Agostinelli;1054874;True;WRITTEN_BY
Misagh Soltani;1054874;False;WRITTEN_BY
Arthur Flajolet;1054875;True;WRITTEN_BY
Guillaume Richard;1054875;False;WRITTEN_BY
Lars C. P. M. Quaedvlieg;1054875;False;WRITTEN_BY
Raphaël Boige;1054875;False;WRITTEN_BY
Thomas Pierrot;1054875;False;WRITTEN_BY
Yannis Flet-Berliac;1054875;False;WRITTEN_BY
Adam White 0001;1054876;True;WRITTEN_BY
James E. Kostas;1054876;False;WRITTEN_BY
Philip S. Thomas;1054876;False;WRITTEN_BY
Samuel Neumann;1054876;False;WRITTEN_BY
Scott M. Jordan;1054876;False;WRITTEN_BY
Ho Long Fung;1054877;True;WRITTEN_BY
Mirco Musolesi;1054877;False;WRITTEN_BY
Stephen Hailes;1054877;False;WRITTEN_BY
Victor-Alexandru Darvariu;1054877;False;WRITTEN_BY
Erin J. Talvitie;1054878;True;WRITTEN_BY
Huiying Li;1054878;False;WRITTEN_BY
