article:ID;author:string[];author-aux:string;author-orcid:string[];booktitle:string;cdate:date;cdrom:string;cite:string[];cite-label:string[];crossref:string;editor:string[];editor-orcid:string[];ee:string[];ee-type:string[];i:string[];journal:string;key:string;mdate:date;month:string;note:string[];note-label:string;note-type:string[];number:string;pages:string;publisher:string;publnr:string;publtype:string;stream:string;sub:string[];sup:string[];title:string;title-bibtex:string;tt:string[];url:string[];volume:string;year:int
783225;Emilio Coppa;;0000-0002-8094-871X;;;;;;;;;https://doi.org/10.4108/icst.valuetools.2014.258172;;;EAI Endorsed Trans. Ubiquitous Environ.;conf/valuetools/Coppa14;2022-04-09;;;;;7;e5;;;;;;;An interactive visualization framework for performance analysis.;;;db/journals/ue/ue2.html#Coppa14;2;2015.0
1054868;David Meger|Gregory Dudek|Scott Fujimoto|Wei-Di Chang;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper241.html;oa;;RLJ;conf/rlc/ChangFMD24;2025-03-26;;;;;;1911-1923;;;;;;;Imitation Learning from Observation through Optimal Transport.;;;db/journals/rlj/rlj4.html#ChangFMD24;4;2024.0
1054869;Alexander Levine 0001|Amy Zhang 0001|Peter Stone 0001;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper117.html;oa;;RLJ;conf/rlc/0001S024;2025-03-26;;;;;;884-925;;;;;;;Multistep Inverse Is Not All You Need.;;;db/journals/rlj/rlj2.html#0001S024;2;2024.0
1054870;Henry Sowerby|Michael Littman 0002|Shreyas Sundara Raman|Zhiyuan Zhou;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper159.html;oa;;RLJ;conf/rlc/ZhouRS024;2025-03-26;;;;;;1265-1288;;;;;;;Tiered Reward: Designing Rewards for Specification and Fast Learning of Desired Behavior.;;;db/journals/rlj/rlj3.html#ZhouRS024;3;2024.0
1054871;András György 0001|Claire Vernade|Mohammad Ghavamzadeh|Mohammad Javad Azizi|Thang Duong|Yasin Abbasi-Yadkori;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper358.html;oa;;RLJ;conf/rlc/AziziDA0VG24;2025-03-26;;;;;;2461-2491;;;;;;;Non-stationary Bandits and Meta-Learning with a Small Set of Optimal Arms.;;;db/journals/rlj/rlj5.html#AziziDA0VG24;5;2024.0
1054872;Hassan Saber|Odalric-Ambrym Maillard;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper350.html;oa;;RLJ;conf/rlc/SaberM24;2025-03-26;;;;;;2400-2439;;;;;;;Bandits with Multimodal Structure.;;;db/journals/rlj/rlj5.html#SaberM24;5;2024.0
1054873;Alex Ayoub|Bruno Castro da Silva|Bryan Chan|Dale Schuurmans|David Szepesvari|Dhawal Gupta|Francesco Zanini;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper80.html;oa;;RLJ;conf/rlc/AyoubSZCGSS24;2025-03-26;;;;;;563-572;;;;;;;Mitigating the Curse of Horizon in Monte-Carlo Returns.;;;db/journals/rlj/rlj2.html#AyoubSZCGSS24;2;2024.0
1054874;Forest Agostinelli|Misagh Soltani;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper225.html;oa;;RLJ;conf/rlc/AgostinelliS24;2025-03-26;;;;;;1781-1792;;;;;;;Learning Discrete World Models for Heuristic Search.;;;db/journals/rlj/rlj4.html#AgostinelliS24;4;2024.0
1054875;Arthur Flajolet|Guillaume Richard|Lars C. P. M. Quaedvlieg|Raphaël Boige|Thomas Pierrot|Yannis Flet-Berliac;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper191.html;oa;;RLJ;conf/rlc/BoigeFQFRP24;2025-03-26;;;;;;1511-1532;;;;;;;PASTA: Pretrained Action-State Transformer Agents.;;;db/journals/rlj/rlj3.html#BoigeFQFRP24;3;2024.0
1054876;Adam White 0001|James E. Kostas|Philip S. Thomas|Samuel Neumann|Scott M. Jordan;;;;;;;;;;;https://rlj.cs.umass.edu/2024/papers/Paper115.html;oa;;RLJ;conf/rlc/JordanNK0T24;2025-03-26;;;;;;864-883;;;;;;;The Cliff of Overcommitment with Policy Gradient Step Sizes.;;;db/journals/rlj/rlj2.html#JordanNK0T24;2;2024.0
