inproceedings:ID;author:string[];author-aux:string[];author-orcid:string[];booktitle:string;cdrom:string[];cite:string[];cite-label:string[];crossref:string[];editor:string[];editor-orcid:string[];ee:string[];ee-type:string[];i:string[];key:string;mdate:date;month:string;note:string;note-type:string;number:string;pages:string;publnr:int;publtype:string;stream:string;sub:string[];sup:string[];title:string;title-bibtex:string;tt:string;url:string;volume:int;year:int
54781;Sam Freed;;0000-0002-4182-3228;PT-AI;;;;series/sapere/2013-5;;;https://doi.org/10.1007/978-3-642-31674-6_12;;;series/sapere/Freed13;2022-10-02;;;;;167-177;;;;;;Practical Introspection as Inspiration for AI.;;;db/series/sapere/sapere5.html#Freed13;;2011
54782;Pierre Steiner;;0000-0002-0041-5973;PT-AI;;;;series/sapere/2013-5;;;https://doi.org/10.1007/978-3-642-31674-6_20;;;series/sapere/Steiner13;2023-03-21;;;;;265-276;;;;;;C.S. Peirce and Artificial Intelligence: Historical Heritage and (New) Theoretical Stakes.;;;db/series/sapere/sapere5.html#Steiner13;;2011
54784;Anders Sandberg;;0000-0001-5636-5402;PT-AI;;;;series/sapere/2013-5;;;https://doi.org/10.1007/978-3-642-31674-6_19;;;series/sapere/Sandberg13;2019-09-06;;;;;251-264;;;;;;Feasibility of Whole Brain Emulation.;;;db/series/sapere/sapere5.html#Sandberg13;;2011
54790;Claiborne Rice|Istvan S. N. Berkeley;;0000-0002-4414-6920;PT-AI;;;;series/sapere/2013-5;;;https://doi.org/10.1007/978-3-642-31674-6_1;;;series/sapere/BerkeleyR13;2023-09-30;;;;;1-15;;;;;;Machine Mentality?;;;db/series/sapere/sapere5.html#BerkeleyR13;;2011
54799;John Mark Bishop|Slawomir J. Nasuto;;0000-0001-9414-9049;PT-AI;;;;series/sapere/2013-5;;;https://doi.org/10.1007/978-3-642-31674-6_7;;;series/sapere/NasutoB13;2025-09-06;;;;;85-106;;;;;;Of (Zombie) Mice and Animats.;;;db/series/sapere/sapere5.html#NasutoB13;;2011
54801;Peter Bokulich;;;PT-AI;;;;series/sapere/2013-5;;;https://doi.org/10.1007/978-3-642-31674-6_3;;;series/sapere/Bokulich13;2019-09-06;;;;;29-41;;;;;;The Physics and Metaphysics of Computation and Cognition.;;;db/series/sapere/sapere5.html#Bokulich13;;2011
54809;Stuart Armstrong;;;PT-AI;;;;series/sapere/2013-5;;;https://doi.org/10.1007/978-3-642-31674-6_25;;;series/sapere/Armstrong13;2019-09-06;;;;;335-347;;;;;;Risks and Mitigation Strategies for Oracle AI.;;;db/series/sapere/sapere5.html#Armstrong13;;2011
54813;Roman V. Yampolskiy;;;PT-AI;;;;series/sapere/2013-5;;;https://doi.org/10.1007/978-3-642-31674-6_29;;;series/sapere/Yampolskiy13;2019-09-06;;;;;389-396;;;;;;Artificial Intelligence Safety Engineering: Why Machine Ethics Is a Wrong Approach.;;;db/series/sapere/sapere5.html#Yampolskiy13;;2011
54815;Mario Verdicchio|Viola Schiaffonati;;;PT-AI;;;;series/sapere/2013-5;;;https://doi.org/10.1007/978-3-642-31674-6_28;;;series/sapere/SchiaffonatiV13;2019-09-06;;;;;375-388;;;;;;The Influence of Engineering Theory and Practice on Philosophy of AI.;;;db/series/sapere/sapere5.html#SchiaffonatiV13;;2011
54816;Raffaela Giovagnoli;;;PT-AI;;;;series/sapere/2013-5;;;https://doi.org/10.1007/978-3-642-31674-6_13;;;series/sapere/Giovagnoli13;2019-09-06;;;;;179-186;;;;;;"""Computational Ontology and Deontology"".";;;db/series/sapere/sapere5.html#Giovagnoli13;;2011
