:START_ID;:END_ID;:TYPE
783225;7994738;CITED_BY
783225;74014;CITED_BY
1054868;7995629;CITED_BY
1054868;78281;CITED_BY
1054869;74614;CITED_BY
1054869;71244;CITED_BY
1054869;7999244;CITED_BY
1054870;7997412;CITED_BY
1054871;7996651;CITED_BY
1054871;7995804;CITED_BY
1054871;7995085;CITED_BY
1054871;7996789;CITED_BY
1054871;7993710;CITED_BY
1054872;7992422;CITED_BY
1054872;74615;CITED_BY
1054872;80455;CITED_BY
1054872;80433;CITED_BY
1054872;73835;CITED_BY
1054873;78312;CITED_BY
1054873;78502;CITED_BY
1054874;7993421;CITED_BY
1054874;7998419;CITED_BY
1054874;7993492;CITED_BY
1054874;77592;CITED_BY
1054874;7998423;CITED_BY
1054875;7991008;CITED_BY
1054875;73560;CITED_BY
1054875;71688;CITED_BY
1054875;77370;CITED_BY
1054876;79540;CITED_BY
1054876;73080;CITED_BY
1054876;75633;CITED_BY
1054877;7992469;CITED_BY
1054877;76084;CITED_BY
1054877;7992312;CITED_BY
1054877;7993176;CITED_BY
1054877;7990533;CITED_BY
1054878;73304;CITED_BY
1054879;77013;CITED_BY
1054879;77727;CITED_BY
1054879;8000275;CITED_BY
1054880;75377;CITED_BY
1054881;76608;CITED_BY
1054881;74780;CITED_BY
1054881;74740;CITED_BY
1054881;71195;CITED_BY
1054882;75108;CITED_BY
1054882;7994505;CITED_BY
1054882;7993361;CITED_BY
1054882;71929;CITED_BY
1054883;7992762;CITED_BY
1054884;77222;CITED_BY
1054885;77287;CITED_BY
1054885;7999153;CITED_BY
1054885;7990983;CITED_BY
1054886;7992265;CITED_BY
1054887;7996146;CITED_BY
1054888;7995370;CITED_BY
1054888;7993805;CITED_BY
1054888;7997745;CITED_BY
1054888;80462;CITED_BY
1054889;78576;CITED_BY
1054889;7997812;CITED_BY
1054889;73668;CITED_BY
1054889;75983;CITED_BY
1054889;79901;CITED_BY
1054890;77579;CITED_BY
1054890;7998352;CITED_BY
1054890;7998026;CITED_BY
1054891;78073;CITED_BY
1054892;7999600;CITED_BY
1054893;7994498;CITED_BY
1054893;80023;CITED_BY
1054893;78876;CITED_BY
1054893;78005;CITED_BY
1054894;7990765;CITED_BY
1054894;7995290;CITED_BY
1054894;76103;CITED_BY
1054894;72638;CITED_BY
1054895;75422;CITED_BY
1054895;76270;CITED_BY
1054896;7990684;CITED_BY
1054896;7990852;CITED_BY
1054897;79929;CITED_BY
1054897;80147;CITED_BY
1054897;7999448;CITED_BY
1054897;80959;CITED_BY
1054897;7992152;CITED_BY
1054898;75471;CITED_BY
1054898;75405;CITED_BY
1054898;7992975;CITED_BY
1054898;7994255;CITED_BY
1054898;7997602;CITED_BY
1054899;7992197;CITED_BY
1054899;7997274;CITED_BY
1054900;7995259;CITED_BY
1054900;7995615;CITED_BY
1054900;74090;CITED_BY
1054900;80268;CITED_BY
1054901;7997028;CITED_BY
1054902;7993650;CITED_BY
1054903;75018;CITED_BY
1054904;81186;CITED_BY
1054904;79911;CITED_BY
1054904;80129;CITED_BY
1054904;79584;CITED_BY
1054904;7998328;CITED_BY
1054905;79635;CITED_BY
1054905;71698;CITED_BY
1054905;7999169;CITED_BY
1054906;7994204;CITED_BY
1054906;77612;CITED_BY
1054906;77755;CITED_BY
1054906;7991899;CITED_BY
1054906;75867;CITED_BY
1054907;73751;CITED_BY
1054907;78707;CITED_BY
1054907;7991759;CITED_BY
1054908;7996718;CITED_BY
1054909;74832;CITED_BY
1054910;7998666;CITED_BY
1054910;75181;CITED_BY
1054910;79483;CITED_BY
1054910;7990536;CITED_BY
1054911;7991167;CITED_BY
1054911;7997236;CITED_BY
1054911;7994682;CITED_BY
1054911;7995372;CITED_BY
1054911;79529;CITED_BY
1054912;74718;CITED_BY
1054912;7992791;CITED_BY
1054913;78491;CITED_BY
1054913;75815;CITED_BY
1054913;7992107;CITED_BY
1054914;7998534;CITED_BY
1054915;75439;CITED_BY
1054915;81041;CITED_BY
1054915;7995099;CITED_BY
1054915;78832;CITED_BY
1054916;78557;CITED_BY
1054916;7990789;CITED_BY
1054916;7992936;CITED_BY
1054916;73000;CITED_BY
1054916;8000287;CITED_BY
1054917;80195;CITED_BY
1054917;7996421;CITED_BY
1054918;76902;CITED_BY
1054918;71293;CITED_BY
