:START_ID;:END_ID;:TYPE
54781;76284;CITED_BY
54781;7998561;CITED_BY
54781;77612;CITED_BY
54781;71817;CITED_BY
54782;77461;CITED_BY
54782;7999594;CITED_BY
54782;76354;CITED_BY
54782;8000316;CITED_BY
54782;74417;CITED_BY
54784;79844;CITED_BY
54790;75732;CITED_BY
54790;7998890;CITED_BY
54799;7997905;CITED_BY
54799;78821;CITED_BY
54799;78658;CITED_BY
54799;78805;CITED_BY
54801;77114;CITED_BY
54809;7991660;CITED_BY
54809;80655;CITED_BY
54809;7999509;CITED_BY
54809;77442;CITED_BY
54809;7993566;CITED_BY
54813;7991530;CITED_BY
54813;7993327;CITED_BY
54815;7997029;CITED_BY
54816;73135;CITED_BY
54816;74807;CITED_BY
54817;7999955;CITED_BY
54817;81062;CITED_BY
54817;7995108;CITED_BY
54817;7997274;CITED_BY
54822;71750;CITED_BY
54822;7993118;CITED_BY
54822;75997;CITED_BY
54822;7994039;CITED_BY
54822;7992070;CITED_BY
54826;80791;CITED_BY
54828;71610;CITED_BY
54828;79599;CITED_BY
54828;7992772;CITED_BY
54828;7997958;CITED_BY
54828;7998001;CITED_BY
54835;81118;CITED_BY
54835;80400;CITED_BY
54836;71299;CITED_BY
54836;7995071;CITED_BY
54836;7995778;CITED_BY
54836;7993147;CITED_BY
54836;7999175;CITED_BY
54839;76135;CITED_BY
54839;7998568;CITED_BY
54839;8000104;CITED_BY
54841;78774;CITED_BY
54841;76552;CITED_BY
54843;73552;CITED_BY
54843;76509;CITED_BY
54843;7990941;CITED_BY
54843;7994907;CITED_BY
54843;79682;CITED_BY
54851;7999002;CITED_BY
54852;7996527;CITED_BY
54853;75516;CITED_BY
54858;73789;CITED_BY
54858;7991346;CITED_BY
54858;7998060;CITED_BY
54863;7996312;CITED_BY
54863;76583;CITED_BY
54863;7996364;CITED_BY
54863;75849;CITED_BY
54863;78906;CITED_BY
54867;72548;CITED_BY
54868;7992805;CITED_BY
54876;77005;CITED_BY
54876;7991119;CITED_BY
54876;7995356;CITED_BY
54876;7993147;CITED_BY
54878;77229;CITED_BY
54878;75709;CITED_BY
54886;7996068;CITED_BY
54886;73297;CITED_BY
54886;7991564;CITED_BY
54886;8000020;CITED_BY
54886;75967;CITED_BY
54894;72154;CITED_BY
61718;74316;CITED_BY
61718;7991038;CITED_BY
61977;71869;CITED_BY
61977;72708;CITED_BY
61977;77725;CITED_BY
62260;77098;CITED_BY
