:START_ID;:END_ID;:TYPE
783225;computer vision;COVERS
783225;indexing;COVERS
783225;data modeling;COVERS
783225;data management;COVERS
1054868;data storage;COVERS
1054868;data mining;COVERS
1054868;query optimization;COVERS
1054868;data management;COVERS
1054868;computer vision;COVERS
1054869;data querying;COVERS
1054869;indexing;COVERS
1054869;distributed systems;COVERS
1054870;data processing;COVERS
1054870;computer vision;COVERS
1054870;indexing;COVERS
1054870;distributed systems;COVERS
1054871;nosql;COVERS
1054871;data querying;COVERS
1054872;distributed systems;COVERS
1054872;data processing;COVERS
1054872;indexing;COVERS
1054872;data mining;COVERS
1054873;data management;COVERS
1054873;data storage;COVERS
1054873;indexing;COVERS
1054873;query optimization;COVERS
1054873;big data;COVERS
1054874;data storage;COVERS
1054874;machine learning;COVERS
1054874;computer vision;COVERS
1054875;indexing;COVERS
1054875;distributed systems;COVERS
1054875;big data;COVERS
1054876;computer vision;COVERS
1054876;query optimization;COVERS
1054876;data management;COVERS
1054877;data storage;COVERS
1054877;machine learning;COVERS
1054877;data querying;COVERS
1054877;data processing;COVERS
1054877;data mining;COVERS
1054878;computer vision;COVERS
1054878;data modeling;COVERS
1054878;data mining;COVERS
1054879;distributed systems;COVERS
1054879;indexing;COVERS
1054880;machine learning;COVERS
1054880;data modeling;COVERS
1054881;data modeling;COVERS
1054881;data management;COVERS
1054881;data storage;COVERS
1054881;computer vision;COVERS
1054882;nosql;COVERS
1054882;data processing;COVERS
1054882;indexing;COVERS
1054883;data management;COVERS
1054883;data storage;COVERS
1054884;data mining;COVERS
1054884;distributed systems;COVERS
1054884;data storage;COVERS
1054885;nosql;COVERS
1054885;indexing;COVERS
1054885;big data;COVERS
1054885;data management;COVERS
1054886;nosql;COVERS
1054886;query optimization;COVERS
1054886;data querying;COVERS
1054886;distributed systems;COVERS
1054887;computer vision;COVERS
1054887;distributed systems;COVERS
1054887;data storage;COVERS
1054888;query optimization;COVERS
1054888;big data;COVERS
1054889;nosql;COVERS
1054889;data mining;COVERS
1054890;nosql;COVERS
1054890;data processing;COVERS
1054891;indexing;COVERS
1054891;data modeling;COVERS
1054891;machine learning;COVERS
1054891;distributed systems;COVERS
1054891;big data;COVERS
1054892;data querying;COVERS
1054892;data modeling;COVERS
1054893;data querying;COVERS
1054893;indexing;COVERS
1054894;data management;COVERS
1054894;data storage;COVERS
1054895;machine learning;COVERS
1054895;data mining;COVERS
1054895;data processing;COVERS
1054895;data querying;COVERS
1054895;computer vision;COVERS
1054896;computer vision;COVERS
1054896;data storage;COVERS
1054896;data processing;COVERS
1054897;machine learning;COVERS
1054897;big data;COVERS
1054897;indexing;COVERS
1054897;data storage;COVERS
1054898;nosql;COVERS
1054898;computer vision;COVERS
1054898;machine learning;COVERS
1054898;distributed systems;COVERS
1054898;query optimization;COVERS
1054899;query optimization;COVERS
1054899;data processing;COVERS
1054899;machine learning;COVERS
1054899;data mining;COVERS
1054900;computer vision;COVERS
1054900;indexing;COVERS
1054901;data modeling;COVERS
1054901;data mining;COVERS
1054902;data mining;COVERS
1054902;distributed systems;COVERS
1054902;data modeling;COVERS
1054902;data querying;COVERS
1054902;data storage;COVERS
1054903;data processing;COVERS
1054903;indexing;COVERS
1054904;machine learning;COVERS
1054904;data querying;COVERS
1054904;distributed systems;COVERS
1054904;query optimization;COVERS
1054905;big data;COVERS
1054905;data processing;COVERS
1054905;computer vision;COVERS
1054905;distributed systems;COVERS
1054906;data storage;COVERS
1054906;indexing;COVERS
1054907;distributed systems;COVERS
1054907;machine learning;COVERS
1054907;data mining;COVERS
1054908;query optimization;COVERS
1054908;data management;COVERS
1054908;data storage;COVERS
1054908;data processing;COVERS
1054908;data querying;COVERS
1054909;distributed systems;COVERS
1054909;nosql;COVERS
1054909;data querying;COVERS
1054909;indexing;COVERS
1054910;computer vision;COVERS
1054910;data mining;COVERS
1054910;data management;COVERS
1054910;nosql;COVERS
1054911;data modeling;COVERS
1054911;big data;COVERS
1054911;data storage;COVERS
1054911;data mining;COVERS
1054911;computer vision;COVERS
1054912;nosql;COVERS
1054912;indexing;COVERS
1054912;data mining;COVERS
1054912;data querying;COVERS
1054912;query optimization;COVERS
1054913;data querying;COVERS
1054913;data storage;COVERS
1054914;data querying;COVERS
