:START_ID;:END_ID;:TYPE
54781;data processing;COVERS
54782;indexing;COVERS
54782;distributed systems;COVERS
54784;data storage;COVERS
54784;data management;COVERS
54784;data processing;COVERS
54790;machine learning;COVERS
54790;data storage;COVERS
54790;distributed systems;COVERS
54799;data management;COVERS
54799;big data;COVERS
54799;machine learning;COVERS
54801;data processing;COVERS
54809;indexing;COVERS
54809;query optimization;COVERS
54813;data modeling;COVERS
54813;data querying;COVERS
54815;data processing;COVERS
54816;distributed systems;COVERS
54816;computer vision;COVERS
54817;distributed systems;COVERS
54817;big data;COVERS
54822;data modeling;COVERS
54822;indexing;COVERS
54826;big data;COVERS
54826;query optimization;COVERS
54828;big data;COVERS
54828;data processing;COVERS
54828;data management;COVERS
54835;indexing;COVERS
54835;big data;COVERS
54836;data storage;COVERS
54836;data querying;COVERS
54839;machine learning;COVERS
54839;data querying;COVERS
54839;data modeling;COVERS
54841;query optimization;COVERS
54841;machine learning;COVERS
54843;data querying;COVERS
54851;computer vision;COVERS
54851;data modeling;COVERS
54852;distributed systems;COVERS
54852;indexing;COVERS
54852;data management;COVERS
54853;distributed systems;COVERS
54858;query optimization;COVERS
54858;indexing;COVERS
54858;big data;COVERS
54863;computer vision;COVERS
54863;data processing;COVERS
54863;data modeling;COVERS
54867;data querying;COVERS
54867;big data;COVERS
54867;machine learning;COVERS
54868;data querying;COVERS
54868;indexing;COVERS
54868;machine learning;COVERS
54876;indexing;COVERS
54876;data querying;COVERS
54876;big data;COVERS
54878;big data;COVERS
54878;computer vision;COVERS
54878;data management;COVERS
54886;distributed systems;COVERS
54894;data management;COVERS
54894;distributed systems;COVERS
54894;nosql;COVERS
61718;nosql;COVERS
61718;big data;COVERS
61977;data mining;COVERS
62260;indexing;COVERS
62260;data mining;COVERS
62652;data storage;COVERS
62652;data modeling;COVERS
62652;distributed systems;COVERS
63296;big data;COVERS
63359;query optimization;COVERS
63359;indexing;COVERS
63378;distributed systems;COVERS
63378;data querying;COVERS
63829;data management;COVERS
63844;indexing;COVERS
63844;data management;COVERS
63844;big data;COVERS
64034;big data;COVERS
64034;data processing;COVERS
64429;distributed systems;COVERS
64429;indexing;COVERS
64429;data storage;COVERS
64430;nosql;COVERS
64430;data modeling;COVERS
64430;computer vision;COVERS
64453;data storage;COVERS
64842;data management;COVERS
64842;distributed systems;COVERS
64842;data mining;COVERS
64888;data mining;COVERS
64994;data modeling;COVERS
64994;distributed systems;COVERS
65414;indexing;COVERS
65846;data querying;COVERS
66166;indexing;COVERS
66939;distributed systems;COVERS
