:START_ID;:END_ID;:TYPE
Sandra Baldassarri;783225;HAS_REVIEWED
Kathleen A. Kramer;783225;HAS_REVIEWED
Carla S. Möller-Levet;783225;HAS_REVIEWED
Zenon Kuzmyn;1054868;HAS_REVIEWED
Juan Manuel Corchado;1054868;HAS_REVIEWED
Alexander Cameron 0004;1054868;HAS_REVIEWED
Marcelo Barros de Almeida;1054869;HAS_REVIEWED
Leila Moslehi;1054869;HAS_REVIEWED
Jian He 0003;1054869;HAS_REVIEWED
Valentin Mercier;1054870;HAS_REVIEWED
Thomas A. Zang;1054870;HAS_REVIEWED
Ben M. Chen;1054870;HAS_REVIEWED
Selina Christin Wriessnegger;1054871;HAS_REVIEWED
Zhen Zhang;1054871;HAS_REVIEWED
Ismael Caballero 0001;1054871;HAS_REVIEWED
Walter H. Johnson;1054872;HAS_REVIEWED
Bilal Younis;1054872;HAS_REVIEWED
Ameni Hbaieb;1054872;HAS_REVIEWED
Thiago F. Noronha;1054873;HAS_REVIEWED
Zhi-You Wu;1054873;HAS_REVIEWED
Jean-Philippe Martin-Flatin;1054873;HAS_REVIEWED
Flávia Chorobura;1054874;HAS_REVIEWED
Bárbara Álvarez;1054874;HAS_REVIEWED
Estela Bicho;1054874;HAS_REVIEWED
David Konopnicki;1054875;HAS_REVIEWED
Lena Buffoni;1054875;HAS_REVIEWED
Martin Hynes;1054875;HAS_REVIEWED
Don Yarbrough;1054876;HAS_REVIEWED
Keith H. Bennett;1054876;HAS_REVIEWED
Binish Tanveer;1054876;HAS_REVIEWED
Saso Blazic;1054877;HAS_REVIEWED
Hugo Calleja;1054877;HAS_REVIEWED
Uwe Krüger 0001;1054877;HAS_REVIEWED
Xiao-Fei Wang;1054878;HAS_REVIEWED
Johanna Nellen;1054878;HAS_REVIEWED
Abdullah Alammari;1054878;HAS_REVIEWED
Pei-Chi Chen;1054879;HAS_REVIEWED
Kristo Ivanov;1054879;HAS_REVIEWED
Claudio Carretero;1054879;HAS_REVIEWED
Tanel Tammet;1054880;HAS_REVIEWED
Javier Peña 0001;1054880;HAS_REVIEWED
Fragkiskos Bersimis;1054880;HAS_REVIEWED
Yoshihiro Kanno;1054881;HAS_REVIEWED
Alain Yee-Loong Chong;1054881;HAS_REVIEWED
Zhenghui Gu;1054881;HAS_REVIEWED
Thai Ha Nguyen;1054882;HAS_REVIEWED
Hui-Tzu Chang;1054882;HAS_REVIEWED
Alan Ho;1054882;HAS_REVIEWED
Ramprasad Potluri;1054883;HAS_REVIEWED
Letizia Jaccheri;1054883;HAS_REVIEWED
Yan Cen;1054883;HAS_REVIEWED
Michael Mandlmayr;1054884;HAS_REVIEWED
Abderrazek Azri;1054884;HAS_REVIEWED
John Heywood;1054884;HAS_REVIEWED
Cesar Serrano Lopez;1054885;HAS_REVIEWED
Arturo Sanchez;1054885;HAS_REVIEWED
M. S. Hingst;1054885;HAS_REVIEWED
Jeremiah Takyi;1054886;HAS_REVIEWED
Tran Dinh Quoc;1054886;HAS_REVIEWED
Yassine Aziz Rekik;1054886;HAS_REVIEWED
Andrea C. Alvarado-Fajardo;1054887;HAS_REVIEWED
Arnaud Vandaele;1054887;HAS_REVIEWED
Aditya Anupam;1054887;HAS_REVIEWED
Zhenghua Gan;1054888;HAS_REVIEWED
Michael Meder;1054888;HAS_REVIEWED
Mitsuru Toyoda;1054888;HAS_REVIEWED
Eric Eaton;1054889;HAS_REVIEWED
Marcello L'Abbate;1054889;HAS_REVIEWED
Paolo Rocchi;1054889;HAS_REVIEWED
G. Jongen;1054890;HAS_REVIEWED
Luke R. Mason;1054890;HAS_REVIEWED
Geir Hovland;1054890;HAS_REVIEWED
Shikha Garg;1054891;HAS_REVIEWED
Angel Sapena-Bano;1054891;HAS_REVIEWED
Yianna Danidou;1054891;HAS_REVIEWED
Mete Sevinç;1054892;HAS_REVIEWED
Boaz Lerner;1054892;HAS_REVIEWED
S. Sowmya Kamath;1054892;HAS_REVIEWED
Lingyu Wu;1054893;HAS_REVIEWED
Sheng-Long Hu;1054893;HAS_REVIEWED
Begoña Pino;1054893;HAS_REVIEWED
Christopher W. Trueman;1054894;HAS_REVIEWED
Julius Fergy T. Rabago;1054894;HAS_REVIEWED
Zhongcheng Lei;1054894;HAS_REVIEWED
Abdelkrim Chakib;1054895;HAS_REVIEWED
