:START_ID;:END_ID;:TYPE
54781;PT-AI_2011;PRESENTED_AT
54782;PT-AI_2011;PRESENTED_AT
54784;PT-AI_2011;PRESENTED_AT
54790;PT-AI_2011;PRESENTED_AT
54799;PT-AI_2011;PRESENTED_AT
54801;PT-AI_2011;PRESENTED_AT
54809;PT-AI_2011;PRESENTED_AT
54813;PT-AI_2011;PRESENTED_AT
54815;PT-AI_2011;PRESENTED_AT
54816;PT-AI_2011;PRESENTED_AT
54817;PT-AI_2011;PRESENTED_AT
54822;PT-AI_2011;PRESENTED_AT
54826;PT-AI_2011;PRESENTED_AT
54828;PT-AI_2011;PRESENTED_AT
54835;PT-AI_2011;PRESENTED_AT
54836;PT-AI_2011;PRESENTED_AT
54839;PT-AI_2011;PRESENTED_AT
54841;PT-AI_2011;PRESENTED_AT
54843;PT-AI_2011;PRESENTED_AT
54851;PT-AI_2011;PRESENTED_AT
54852;PT-AI_2011;PRESENTED_AT
54853;PT-AI_2011;PRESENTED_AT
54858;PT-AI_2011;PRESENTED_AT
54863;PT-AI_2011;PRESENTED_AT
54867;PT-AI_2011;PRESENTED_AT
54868;PT-AI_2011;PRESENTED_AT
54876;PT-AI_2011;PRESENTED_AT
54878;PT-AI_2011;PRESENTED_AT
54886;PT-AI_2011;PRESENTED_AT
54894;PT-AI_2011;PRESENTED_AT
61718;Software Engineering Research, Management and Applications_2014;PRESENTED_AT
61977;EGC (best of volume)_2011;PRESENTED_AT
62260;EGC (best of volume)_2011;PRESENTED_AT
62652;Software Engineering Research, Management and Applications_2014;PRESENTED_AT
63296;Software Engineering Research, Management and Applications_2014;PRESENTED_AT
63359;EGC (best of volume)_2011;PRESENTED_AT
63378;Software Engineering Research, Management and Applications_2014;PRESENTED_AT
63829;EGC (best of volume)_2011;PRESENTED_AT
63844;Software Engineering Research, Management and Applications_2014;PRESENTED_AT
64034;EGC (best of volume)_2011;PRESENTED_AT
64429;Software Engineering Research, Management and Applications_2014;PRESENTED_AT
64430;Software Engineering Research, Management and Applications_2014;PRESENTED_AT
64453;Software Engineering Research, Management and Applications_2014;PRESENTED_AT
64842;Software Engineering Research, Management and Applications_2014;PRESENTED_AT
64888;EGC (best of volume)_2011;PRESENTED_AT
64994;EGC (best of volume)_2011;PRESENTED_AT
65414;Software Engineering Research, Management and Applications_2014;PRESENTED_AT
65846;Software Engineering Research, Management and Applications_2014;PRESENTED_AT
66166;EGC (best of volume)_2011;PRESENTED_AT
66939;Software Engineering Research, Management and Applications_2014;PRESENTED_AT
66963;Software Engineering Research, Management and Applications_2014;PRESENTED_AT
67056;EGC (best of volume)_2011;PRESENTED_AT
67106;Software Engineering Research, Management and Applications_2014;PRESENTED_AT
67406;Software Engineering Research, Management and Applications_2014;PRESENTED_AT
67427;Software Engineering Research, Management and Applications_2014;PRESENTED_AT
67599;Software Engineering Research, Management and Applications_2014;PRESENTED_AT
68072;EGC (best of volume)_2011;PRESENTED_AT
71170;DAC_2000;PRESENTED_AT
71171;DAC_1988;PRESENTED_AT
71172;DAC_1986;PRESENTED_AT
71173;DAC_1999;PRESENTED_AT
71175;DAC_1982;PRESENTED_AT
71176;DAC_1989;PRESENTED_AT
71177;DAC_2004;PRESENTED_AT
71178;DAC_2009;PRESENTED_AT
71179;DAC_2005;PRESENTED_AT
71180;DAC_2012;PRESENTED_AT
71181;DAC_2024;PRESENTED_AT
71182;DAC_1988;PRESENTED_AT
71183;DAC_2022;PRESENTED_AT
71184;DAC_1980;PRESENTED_AT
71185;DAC_2020;PRESENTED_AT
71186;DAC_2003;PRESENTED_AT
71187;DAC_2024;PRESENTED_AT
71188;DAC_1981;PRESENTED_AT
71189;DAC_2024;PRESENTED_AT
71190;DAC_2022;PRESENTED_AT
71191;DAC_2004;PRESENTED_AT
71192;DAC_2022;PRESENTED_AT
71193;DAC_2019;PRESENTED_AT
71194;DAC_2003;PRESENTED_AT
71195;DAC_2003;PRESENTED_AT
71196;DAC_1999;PRESENTED_AT
71197;DAC_1964;PRESENTED_AT
71198;DAC_1996;PRESENTED_AT
71199;DAC_1981;PRESENTED_AT
71200;DAC_2020;PRESENTED_AT
71201;DAC_1994;PRESENTED_AT
71202;DAC_1997;PRESENTED_AT
71203;DAC_1980;PRESENTED_AT
71204;DAC_2022;PRESENTED_AT
71205;DAC_2021;PRESENTED_AT
71206;DAC_2012;PRESENTED_AT
71207;DAC_1977;PRESENTED_AT
71208;DAC_2017;PRESENTED_AT
71209;DAC_1980;PRESENTED_AT
71210;DAC_1995;PRESENTED_AT
71211;DAC_2000;PRESENTED_AT
71212;DAC_2025;PRESENTED_AT
71213;DAC_1976;PRESENTED_AT
71214;DAC_2025;PRESENTED_AT
71215;DAC_2023;PRESENTED_AT
71216;DAC_1985;PRESENTED_AT
71217;DAC_2013;PRESENTED_AT
71219;DAC_1975;PRESENTED_AT
71220;DAC_2008;PRESENTED_AT
71221;DAC_1997;PRESENTED_AT
71222;DAC_2021;PRESENTED_AT
71223;DAC_2015;PRESENTED_AT
71224;DAC_2020;PRESENTED_AT
71225;DAC_2016;PRESENTED_AT
71226;DAC_1977;PRESENTED_AT
71227;DAC_1997;PRESENTED_AT
71228;DAC_2012;PRESENTED_AT
71229;DAC_2024;PRESENTED_AT
71230;DAC_2024;PRESENTED_AT
71231;DAC_2008;PRESENTED_AT
71232;DAC_1982;PRESENTED_AT
71233;DAC_1996;PRESENTED_AT
71234;DAC_2006;PRESENTED_AT
71235;DAC_1992;PRESENTED_AT
71236;DAC_1972;PRESENTED_AT
71237;DAC_2011;PRESENTED_AT
71238;DAC_2025;PRESENTED_AT
71239;DAC_1991;PRESENTED_AT
71240;DAC_2020;PRESENTED_AT
71241;DAC_1992;PRESENTED_AT
71242;DAC_2009;PRESENTED_AT
71243;DAC_2009;PRESENTED_AT
71244;DAC_2006;PRESENTED_AT
71245;DAC_2012;PRESENTED_AT
71246;DAC_2003;PRESENTED_AT
71247;DAC_2009;PRESENTED_AT
71248;DAC_1985;PRESENTED_AT
71249;DAC_2022;PRESENTED_AT
71250;DAC_2017;PRESENTED_AT
71251;DAC_2002;PRESENTED_AT
71252;DAC_1974;PRESENTED_AT
71253;DAC_1996;PRESENTED_AT
71254;DAC_2001;PRESENTED_AT
71255;DAC_2018;PRESENTED_AT
71256;DAC_2021;PRESENTED_AT
71257;DAC_2025;PRESENTED_AT
71258;DAC_1995;PRESENTED_AT
71259;DAC_2008;PRESENTED_AT
71260;DAC_2024;PRESENTED_AT
71261;DAC_2010;PRESENTED_AT
71262;DAC_2008;PRESENTED_AT
71263;DAC_2009;PRESENTED_AT
71264;DAC_2006;PRESENTED_AT
71266;DAC_2024;PRESENTED_AT
71267;DAC_2006;PRESENTED_AT
71268;DAC_1979;PRESENTED_AT
71269;DAC_2010;PRESENTED_AT
71270;DAC_2021;PRESENTED_AT
71271;DAC_1999;PRESENTED_AT
71272;DAC_1987;PRESENTED_AT
71273;DAC_2013;PRESENTED_AT
71274;DAC_2005;PRESENTED_AT
71275;DAC_2025;PRESENTED_AT
71276;DAC_2022;PRESENTED_AT
71277;DAC_2025;PRESENTED_AT
71278;DAC_1977;PRESENTED_AT
71279;DAC_1993;PRESENTED_AT
71280;DAC_2014;PRESENTED_AT
71281;DAC_2018;PRESENTED_AT
71282;DAC_1985;PRESENTED_AT
71283;DAC_2011;PRESENTED_AT
71284;DAC_2006;PRESENTED_AT
71285;DAC_2008;PRESENTED_AT
71286;DAC_2019;PRESENTED_AT
71287;DAC_2009;PRESENTED_AT
71288;DAC_2004;PRESENTED_AT
71289;DAC_1999;PRESENTED_AT
71290;DAC_2002;PRESENTED_AT
71291;DAC_2009;PRESENTED_AT
71292;DAC_1973;PRESENTED_AT
71293;DAC_2024;PRESENTED_AT
71294;DAC_1979;PRESENTED_AT
71295;DAC_1991;PRESENTED_AT
71296;DAC_2019;PRESENTED_AT
71297;DAC_1976;PRESENTED_AT
71298;DAC_2004;PRESENTED_AT
71299;DAC_2022;PRESENTED_AT
71300;DAC_1990;PRESENTED_AT
71301;DAC_1992;PRESENTED_AT
71302;DAC_2025;PRESENTED_AT
71303;DAC_2013;PRESENTED_AT
71304;DAC_2002;PRESENTED_AT
71305;DAC_2007;PRESENTED_AT
71306;DAC_2022;PRESENTED_AT
71307;DAC_2014;PRESENTED_AT
71308;DAC_1993;PRESENTED_AT
71309;DAC_2008;PRESENTED_AT
71310;DAC_2014;PRESENTED_AT
71311;DAC_2014;PRESENTED_AT
71312;DAC_2023;PRESENTED_AT
71313;DAC_1984;PRESENTED_AT
71314;DAC_1986;PRESENTED_AT
71315;DAC_2010;PRESENTED_AT
71316;DAC_1978;PRESENTED_AT
71317;DAC_1982;PRESENTED_AT
71318;DAC_1993;PRESENTED_AT
71319;DAC_2018;PRESENTED_AT
71320;DAC_2013;PRESENTED_AT
71321;DAC_2015;PRESENTED_AT
71322;DAC_2010;PRESENTED_AT
71323;DAC_1990;PRESENTED_AT
71324;DAC_2014;PRESENTED_AT
71325;DAC_2020;PRESENTED_AT
71326;DAC_2017;PRESENTED_AT
71327;DAC_2023;PRESENTED_AT
71328;DAC_2025;PRESENTED_AT
71329;DAC_1987;PRESENTED_AT
71330;DAC_2003;PRESENTED_AT
71331;DAC_2013;PRESENTED_AT
71332;DAC_2022;PRESENTED_AT
71333;DAC_1974;PRESENTED_AT
71334;DAC_1993;PRESENTED_AT
71335;DAC_2014;PRESENTED_AT
71336;DAC_2021;PRESENTED_AT
71337;DAC_2003;PRESENTED_AT
71338;DAC_2025;PRESENTED_AT
71339;DAC_1996;PRESENTED_AT
71340;DAC_2007;PRESENTED_AT
71341;DAC_2022;PRESENTED_AT
71342;DAC_2018;PRESENTED_AT
71343;DAC_1992;PRESENTED_AT
71344;DAC_2012;PRESENTED_AT
71345;DAC_1979;PRESENTED_AT
71346;DAC_2010;PRESENTED_AT
71347;DAC_2002;PRESENTED_AT
71348;DAC_2022;PRESENTED_AT
71349;DAC_2005;PRESENTED_AT
71350;DAC_2001;PRESENTED_AT
71351;DAC_1997;PRESENTED_AT
71352;DAC_2006;PRESENTED_AT
71353;DAC_2005;PRESENTED_AT
71354;DAC_2002;PRESENTED_AT
71355;DAC_2007;PRESENTED_AT
71356;DAC_2009;PRESENTED_AT
71357;DAC_2016;PRESENTED_AT
71358;DAC_2016;PRESENTED_AT
71359;DAC_1984;PRESENTED_AT
71360;DAC_2013;PRESENTED_AT
71361;DAC_2013;PRESENTED_AT
71362;DAC_2019;PRESENTED_AT
71363;DAC_2021;PRESENTED_AT
71364;DAC_2011;PRESENTED_AT
71365;DAC_2006;PRESENTED_AT
71366;DAC_1975;PRESENTED_AT
71367;DAC_2002;PRESENTED_AT
71368;DAC_2010;PRESENTED_AT
71369;DAC_2007;PRESENTED_AT
71370;DAC_2025;PRESENTED_AT
71371;DAC_2019;PRESENTED_AT
71372;DAC_1973;PRESENTED_AT
71373;DAC_2009;PRESENTED_AT
71374;DAC_1999;PRESENTED_AT
71375;DAC_2025;PRESENTED_AT
71376;DAC_1985;PRESENTED_AT
71377;DAC_1988;PRESENTED_AT
71378;DAC_2003;PRESENTED_AT
71379;DAC_2025;PRESENTED_AT
71380;DAC_1989;PRESENTED_AT
71381;DAC_2014;PRESENTED_AT
71382;DAC_2010;PRESENTED_AT
71383;DAC_2008;PRESENTED_AT
71384;DAC_2018;PRESENTED_AT
71385;DAC_2017;PRESENTED_AT
71386;DAC_2022;PRESENTED_AT
71387;DAC_2021;PRESENTED_AT
71388;DAC_1979;PRESENTED_AT
71389;DAC_2020;PRESENTED_AT
71390;DAC_2018;PRESENTED_AT
71391;DAC_2011;PRESENTED_AT
71392;DAC_1991;PRESENTED_AT
71394;DAC_1983;PRESENTED_AT
71395;DAC_2006;PRESENTED_AT
71396;DAC_1981;PRESENTED_AT
71397;DAC_2005;PRESENTED_AT
71398;DAC_1981;PRESENTED_AT
71399;DAC_1990;PRESENTED_AT
71400;DAC_1985;PRESENTED_AT
71401;DAC_1999;PRESENTED_AT
71402;DAC_2011;PRESENTED_AT
71403;DAC_2002;PRESENTED_AT
71404;DAC_2020;PRESENTED_AT
71405;DAC_2010;PRESENTED_AT
71406;DAC_2018;PRESENTED_AT
71407;DAC_1977;PRESENTED_AT
71408;DAC_1998;PRESENTED_AT
71409;DAC_1982;PRESENTED_AT
71410;DAC_2015;PRESENTED_AT
71411;DAC_1977;PRESENTED_AT
71412;DAC_1990;PRESENTED_AT
71413;DAC_2008;PRESENTED_AT
71414;DAC_2011;PRESENTED_AT
71415;DAC_2004;PRESENTED_AT
71416;DAC_2022;PRESENTED_AT
71417;DAC_1997;PRESENTED_AT
71418;DAC_1998;PRESENTED_AT
71419;DAC_2019;PRESENTED_AT
71420;DAC_1999;PRESENTED_AT
71421;DAC_2025;PRESENTED_AT
71422;DAC_1999;PRESENTED_AT
71423;DAC_1980;PRESENTED_AT
71424;DAC_2025;PRESENTED_AT
71425;DAC_2009;PRESENTED_AT
71426;DAC_1993;PRESENTED_AT
71427;DAC_2024;PRESENTED_AT
71428;DAC_2009;PRESENTED_AT
71429;DAC_1988;PRESENTED_AT
71430;DAC_1972;PRESENTED_AT
