:START_ID;:END_ID;:TYPE
EAI Endorsed Trans. Ubiquitous Environ._Vol2.0;EAI Endorsed Trans. Ubiquitous Environ.;BELONGS_TO
RLJ_Vol4.0;RLJ;BELONGS_TO
RLJ_Vol2.0;RLJ;BELONGS_TO
RLJ_Vol3.0;RLJ;BELONGS_TO
RLJ_Vol5.0;RLJ;BELONGS_TO
RLJ_Vol1.0;RLJ;BELONGS_TO
Int. J. Learn. Technol._Vol15.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol20.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol1.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol18.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol8.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol14.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol5.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol12.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol4.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol11.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol13.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol10.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol17.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol16.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol7.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol6.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol9.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol19.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol1.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol3.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol2.0;Int. J. Learn. Technol.;BELONGS_TO
Int. J. Learn. Technol._Vol3.0;Int. J. Learn. Technol.;BELONGS_TO
