:START_ID;:END_ID;corresponding_author:boolean;:TYPE
Sam Freed;54781;True;WRITTEN_BY
Pierre Steiner;54782;True;WRITTEN_BY
Anders Sandberg;54784;True;WRITTEN_BY
Claiborne Rice;54790;True;WRITTEN_BY
Istvan S. N. Berkeley;54790;True;WRITTEN_BY
John Mark Bishop;54799;True;WRITTEN_BY
Slawomir J. Nasuto;54799;True;WRITTEN_BY
Peter Bokulich;54801;True;WRITTEN_BY
Stuart Armstrong;54809;True;WRITTEN_BY
Roman V. Yampolskiy;54813;True;WRITTEN_BY
Mario Verdicchio;54815;True;WRITTEN_BY
Viola Schiaffonati;54815;True;WRITTEN_BY
Raffaela Giovagnoli;54816;True;WRITTEN_BY
Anthony F. Morse;54817;True;WRITTEN_BY
Bob Coecke;54822;True;WRITTEN_BY
John Mark Bishop;54822;True;WRITTEN_BY
Slawomir J. Nasuto;54822;True;WRITTEN_BY
Gordana Dodig-Crnkovic;54826;True;WRITTEN_BY
Dean Edwards;54828;True;WRITTEN_BY
Hossein Taheri;54828;True;WRITTEN_BY
Justin Horn;54828;True;WRITTEN_BY
Michael O'Rourke;54828;True;WRITTEN_BY
Nicodemus Hallin;54828;True;WRITTEN_BY
Oscar Vilarroya;54835;True;WRITTEN_BY
David Leech Anderson;54836;True;WRITTEN_BY
Stefano Franchi;54839;True;WRITTEN_BY
Lambert Schomaker;54841;True;WRITTEN_BY
Matthijs Kouw;54841;True;WRITTEN_BY
Tijn van der Zant;54841;True;WRITTEN_BY
David Davenport;54843;True;WRITTEN_BY
Fabio Bonsignorio;54851;True;WRITTEN_BY
Claudius Gros;54852;True;WRITTEN_BY
Aziz F. Zambak;54853;True;WRITTEN_BY
Harry Halpin;54858;True;WRITTEN_BY
Tarek Richard Besold;54863;True;WRITTEN_BY
Micha Hersch;54867;True;WRITTEN_BY
Gagan Deep Kaur;54868;True;WRITTEN_BY
Daniel Susser;54876;True;WRITTEN_BY
Roman V. Yampolskiy;54878;True;WRITTEN_BY
Marcin Milkowski;54886;True;WRITTEN_BY
Naveen Sundar Govindarajulu;54894;True;WRITTEN_BY
Selmer Bringsjord;54894;True;WRITTEN_BY
Junwei Liang 0002;61718;True;WRITTEN_BY
Osamu Mizuno;61718;True;WRITTEN_BY
Dominique Gay;61977;True;WRITTEN_BY
Marc Boullé;61977;True;WRITTEN_BY
Israël-César Lerman;62260;True;WRITTEN_BY
Sylvie Guillaume;62260;True;WRITTEN_BY
Atsuo Hazeyama;62652;True;WRITTEN_BY
Masahito Saito;62652;True;WRITTEN_BY
Daisuke Kitayama;63296;True;WRITTEN_BY
Kazutoshi Sumiya;63296;True;WRITTEN_BY
Keisuke Ozu;63296;True;WRITTEN_BY
Shinsuke Nakajima;63296;True;WRITTEN_BY
Julien Rabatel;63359;True;WRITTEN_BY
Pascal Poncelet;63359;True;WRITTEN_BY
Sandra Bringay;63359;True;WRITTEN_BY
Byeongdo Kang;63378;True;WRITTEN_BY
Jonathan Kissinger;63378;True;WRITTEN_BY
Jongseok Lee;63378;True;WRITTEN_BY
Roger Y. Lee;63378;True;WRITTEN_BY
Hanane Azzag;63829;True;WRITTEN_BY
Mustapha Lebbah;63829;True;WRITTEN_BY
Gongzhu Hu;63844;True;WRITTEN_BY
Sergey Shishlenin;63844;True;WRITTEN_BY
Ammar Mechouche;64034;True;WRITTEN_BY
Emeric Prouteau;64034;True;WRITTEN_BY
Nathalie Abadie;64034;True;WRITTEN_BY
Sébastien Mustière;64034;True;WRITTEN_BY
Manas Kamal Bhuyan;64429;True;WRITTEN_BY
Robert J. Woodham;64429;True;WRITTEN_BY
Shinji Fukui 0001;64429;True;WRITTEN_BY
So Hayakawa;64429;True;WRITTEN_BY
Yuji Iwahori;64429;True;WRITTEN_BY
Ippei Torii;64430;True;WRITTEN_BY
Kaoruko Ohtani;64430;True;WRITTEN_BY
Naohiro Ishii;64430;True;WRITTEN_BY
Shunki Takami;64430;True;WRITTEN_BY
Naoki Kawashima;64453;True;WRITTEN_BY
Osamu Mizuno;64453;True;WRITTEN_BY
Atsushi Morikuni;64842;True;WRITTEN_BY
Hiroki Nomiya;64842;True;WRITTEN_BY
Teruhisa Hochin;64842;True;WRITTEN_BY
Giuseppe Berio;64888;True;WRITTEN_BY
Mounira Harzallah;64888;True;WRITTEN_BY
Pascale Kuntz;64888;True;WRITTEN_BY
Toader Gherasim;64888;True;WRITTEN_BY
Ahmed Bounekkar;64994;True;WRITTEN_BY
Djamel Abdelkader Zighed;64994;True;WRITTEN_BY
Rafik Abdesselam;64994;True;WRITTEN_BY
Carla L. Pacheco;65414;True;WRITTEN_BY
Iván A. García;65414;True;WRITTEN_BY
José Antonio Calvo-Manzano;65414;True;WRITTEN_BY
Mutlu Beyazit;65846;True;WRITTEN_BY
Tomohiko Takagi;65846;True;WRITTEN_BY
Elsa Negre;66166;True;WRITTEN_BY
Julien Aligon;66166;True;WRITTEN_BY
Patrick Marcel;66166;True;WRITTEN_BY
Karin Morita;66939;True;WRITTEN_BY
Kosuke Sato;66939;True;WRITTEN_BY
Sei Ikeda;66939;True;WRITTEN_BY
Kazunari Morimoto;66963;True;WRITTEN_BY
Miyuki Iwamoto;66963;True;WRITTEN_BY
Noriaki Kuwahara;66963;True;WRITTEN_BY
Fabien Gandon;67056;True;WRITTEN_BY
Freddy Limpens;67056;True;WRITTEN_BY
Michel Buffa;67056;True;WRITTEN_BY
Mickaël Kerboeuf;67106;True;WRITTEN_BY
Mohamed Abid;67106;True;WRITTEN_BY
Mouna Ben Said;67106;True;WRITTEN_BY
Nader Ben Amor;67106;True;WRITTEN_BY
Yessine Hadj Kacem;67106;True;WRITTEN_BY
Toyoshiro Nakashima;67406;True;WRITTEN_BY
Tsuyoshi Miyazaki 0001;67406;True;WRITTEN_BY
Shuichi Oikawa;67427;True;WRITTEN_BY
Dashen Sun;67599;True;WRITTEN_BY
Huaikou Miao;67599;True;WRITTEN_BY
Shengbo Chen;67599;True;WRITTEN_BY
Aymeric Le Dorze;68072;True;WRITTEN_BY
David Genest;68072;True;WRITTEN_BY
Lionel Chauvin;68072;True;WRITTEN_BY
Stéphane Loiseau;68072;True;WRITTEN_BY
A. Richard Newton;71170;True;WRITTEN_BY
Henry Samueli;71170;True;WRITTEN_BY
Sünke Mehrgardt;71170;True;WRITTEN_BY
Tudor Brown;71170;True;WRITTEN_BY
Walden C. Rhines;71170;True;WRITTEN_BY
Marwan A. Jabri;71171;True;WRITTEN_BY
Hugo De Man;71172;True;WRITTEN_BY
Jan M. Rabaey;71172;True;WRITTEN_BY
Luc J. M. Claesen;71172;True;WRITTEN_BY
Paul Six;71172;True;WRITTEN_BY
Cyrus Bamji;71173;True;WRITTEN_BY
Hakan Yalcin;71173;True;WRITTEN_BY
Karem A. Sakallah;71173;True;WRITTEN_BY
Mohammad Mortazavi;71173;True;WRITTEN_BY
Robert Palermo;71173;True;WRITTEN_BY
Stephen Y. H. Su;71175;True;WRITTEN_BY
Yinghua Min;71175;True;WRITTEN_BY
Kuang-Wei Chiang;71176;True;WRITTEN_BY
Luca Macchiarulo;71177;True;WRITTEN_BY
Mario R. Casu;71177;True;WRITTEN_BY
Jaydeep P. Kulkarni;71178;True;WRITTEN_BY
Kaushik Roy 0001;71178;True;WRITTEN_BY
Sumeet Kumar Gupta;71178;True;WRITTEN_BY
Jaskirat Singh;71179;True;WRITTEN_BY
Sachin S. Sapatnekar;71179;True;WRITTEN_BY
Vidyasagar Nookala;71179;True;WRITTEN_BY
Zhi-Quan Luo;71179;True;WRITTEN_BY
Malgorzata Marek-Sadowska;71180;True;WRITTEN_BY
Xiang Qiu;71180;True;WRITTEN_BY
Angeliki Kritikakou;71181;True;WRITTEN_BY
